2026-05-12 12:18:04 [INF] AMS Home page opened {"ActionId":"32ee0757-6a95-455b-9de2-052d328714b9","ActionName":"Asset_management_Web_Core.Controllers.HomeController.Index (Asset management Web Core)","RequestId":"0HNLG1UV5IQ96:00000001","RequestPath":"/","ConnectionId":"0HNLG1UV5IQ96","MachineName":"BERINNOTEBOOK","ProcessId":43932,"ThreadId":5}
2026-05-12 12:18:04 [INF] HTTP GET / responded 200 in 959.2357 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1UV5IQ96:00000001","ConnectionId":"0HNLG1UV5IQ96","MachineName":"BERINNOTEBOOK","ProcessId":43932,"ThreadId":5}
2026-05-12 12:18:48 [INF] AMS Home page opened {"ActionId":"b5fe2eb1-1601-43d3-96d1-90eaedbf4d0f","ActionName":"Asset_management_Web_Core.Controllers.HomeController.Index (Asset management Web Core)","RequestId":"0HNLG1VCV62O5:00000001","RequestPath":"/","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":19}
2026-05-12 12:18:49 [INF] HTTP GET / responded 200 in 936.9644 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:00000001","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":19}
2026-05-12 12:18:49 [INF] HTTP GET /css/custom.css responded 200 in 64.1039 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:00000005","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":18}
2026-05-12 12:18:59 [INF] HTTP GET /Admin/WeaponTypes responded 200 in 148.6395 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:00000009","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":16}
2026-05-12 12:19:05 [INF] HTTP GET /Admin/WeaponTypes responded 200 in 48.5124 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:0000000F","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":19}
2026-05-12 12:19:06 [INF] HTTP GET /Admin/WeaponTypes responded 200 in 23.1048 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:00000015","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":17}
2026-05-12 12:19:07 [INF] HTTP GET /Admin/WeaponTypes responded 200 in 13.9983 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:0000001B","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":11}
2026-05-12 12:19:13 [INF] HTTP GET /Language/ChangeLanguage responded 302 in 46.3740 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:00000021","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":16}
2026-05-12 12:19:13 [INF] HTTP GET /Admin/WeaponTypes responded 200 in 20.1474 ms {"SourceContext":"Serilog.AspNetCore.RequestLoggingMiddleware","RequestId":"0HNLG1VCV62O5:00000023","ConnectionId":"0HNLG1VCV62O5","MachineName":"BERINNOTEBOOK","ProcessId":40020,"ThreadId":10}
